,Acetaminophen,Acetic Acid,Acetic Anhydride,Acetone,Ammonia,Benzene,Hydrogen SMR,Iso propanol,Methane,Methanol,Naphtha,Nitric Acid,Nitro benzene,Para aminophenol,Propene,Sulphuric acid,ROE,EXPORTS,FINAL_DEMAND,WASTE
Acetaminophen,944616214.824,0.0,973060530.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679385992.7000023,116548928.392,6730565.399,2168603568.0
Acetic Acid,937864799.934,0.0,3307052135.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311769600.0010567,392525112.999,0.0,3433464832.0
Acetic Anhydride,618845995.926,0.0,2913522845.946,0.0,824376.327,106372260.007,61615627.156,0.0,0.0,13190.025,0.0,512022.628,0.0,0.0,0.0,0.0,795696817.790698,162626664.195,0.0,5655625320.0
Acetone,0.0,0.0,834595545.277,0.0,1413756.462,0.0,0.0,0.0,0.0,9733.474,0.0,12687.477,0.0,22.341,16065779.831,0.0,12021604.41760241,12025126.723,0.0,111890688.0
Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3144590814.512,0.0,1068158.926,0.0,0.0,16071575827.00103,79458143.562,0.0,1510094480.0
Benzene,0.0,0.0,0.0,0.0,28535612.496,0.0,0.0,0.0,0.0,196462.857,0.0,256087.2,944376096.0,450.933,324275701.005,0.0,9260977037.909573,5247276919.6,0.0,34775270464.0
Hydrogen SMR,0.0,272330461.457,0.0,0.0,507526731.972,0.0,0.0,0.0,0.0,15344238.767,0.0,4403217.947,0.0,7753.444,5575665571.31,0.0,502753406356.4561,65115372.65,0.0,0.0
Iso propanol,0.0,0.0,0.0,662218229.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19814705063.998512,132350706.007,0.0,933095184.0
Methane,0.0,0.0,0.0,0.0,7680671.3,991064806.378,4115561510.269,12472090.138,0.0,2483177.635,0.0,5156933.366,0.0,0.0,16596284881.921,0.0,212830207408.00122,720551352.994,0.0,729669100784.0
Methanol,0.0,127843305.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54959968.00036621,31360046.372,0.0,1055264.0
Naphtha,0.0,0.0,0.0,0.0,675305.155,87137067.349,50473733.028,746910.278,0.0,10804.885,0.0,469411.62,0.0,0.0,1249179780.34,0.0,165554040964.92987,6146094758.415,0.0,141721556608.0
Nitric Acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100720104.252,739171031.406,0.0,0.0,36055.748,1064411917048.5809,31608240.014,0.0,51664105599.99999
Nitro benzene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4477746.946,0.0,0.0,0.0,0.0,8822581.885,1111620.438,0.0,0.0,2079805637.1215737,2368065.318,0.0,2428245472.0
Para aminophenol,377667.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13504311.999139696,157780.593,0.0,2390720.0
Propene,0.0,0.0,0.0,0.0,3009482831.12,0.0,0.0,5018995365.529,0.0,20719779.396,0.0,27008007.376,0.0,47557.282,34199446563.854,0.0,3889720308023.577,654040695.871,0.0,17276748685056.0
Sulphuric acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321852589.268,0.0,0.0,0.0,0.0,634151696.759,199783.785,0.0,0.0,68158274204.42734,93391533.76,0.0,64601569296.00001
ROE,2364735024.664,7046602024.958,2212261967.52,264366142.414,17103302959.576,35494229314.114,496913271931.46,15435655141.745,919073910086.578,174717321.861,271336948250.784,1112910105476.822,835728000.0,13399512.0,21150837802881.953,132922457646.759,0.0,143796864733.708,0.0,0.0
IMPORTS,22506097.24399732,935900687.9570564,75162095.50430156,61450571.59239749,147345179.5930284,13902361384.15257,8052876902.085806,748169340.0945119,45876653529.42181,1723875.100366232,43473437093.215904,754323316.8010019,1362581717.658574,595620.8501396962,600012719.7823269,886945401.492343,0.0,38649273299.58499,16832234.600564275,
SLACK,,,,,,,,,,,,,,,,,18356213802550.008,,,
