,Acetaminophen,Acetic Acid,Acetic Anhydride,Acetone,Ammonia,Benzene,Hydrogen SMR,Iso propanol,Methane,Methanol,Naphtha,Nitric Acid,Nitro benzene,Para aminophenol,Propene,Sulphuric acid,ROE,EXPORTS,FINAL_DEMAND,WASTE
Acetaminophen,13126.325,0.0,5575763.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36304.00058841705,1614105.833,8075990.628,25268710.0
Acetic Acid,8106839.315,0.0,3443600353.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311769600.00106335,763918814.513,421816041.057,3433464832.0
Acetic Anhydride,5148116.149,0.0,2675523771.322,0.0,77391.548,9986111.501,5784407.73,0.0,0.0,69133.579,0.0,21803.321,0.0,0.0,0.0,0.0,1149939905.0423224,398633085.157,414846074.651,5655625320.0
Acetone,0.0,0.0,766419327.7,0.0,2394266.164,0.0,0.0,0.0,0.0,55.833,0.0,9746.356,0.0,37.835,1193672.294,0.0,19135195.81496154,31371793.16,55620160.843,111890688.0
Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550135861.513,0.0,1160849.118,0.0,0.0,1157250824.0008125,981019352.167,15607126057.202,1510094480.0
Benzene,0.0,0.0,0.0,0.0,48326464.513,0.0,0.0,0.0,0.0,1126.953,0.0,196722.881,854561.216,763.678,24093378.845,0.0,15584182539.22732,480992.147,147757818.54,34775270464.0
Hydrogen SMR,0.0,0.0,0.0,0.0,830935538.91,0.0,78677930285.921,0.0,0.0,3570290902.707,0.0,3382495.169,0.0,13130.839,414266694.991,0.0,219321569213.86047,2824646.346,2353871955.257,204018714840.0
Iso propanol,0.0,0.0,0.0,489483150.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19814705063.999638,158743823.363,146341962.163,933095184.0
Methane,0.0,0.0,0.0,0.0,721053.026,93040080.758,1956118163.63,13005771.943,0.0,87645010.729,0.0,480426.89,0.0,0.0,16736751919.171,0.0,242184378243.30096,161869089.687,1164353792.865,702552200064.0
Methanol,0.0,4542196633.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000274658203125,2987422114.356,2672956628.634,66860142887.99999
Naphtha,0.0,0.0,0.0,0.0,63396.91,8180332.639,4738418.887,778870.633,0.0,144783.924,0.0,53729.846,0.0,0.0,1266692308.466,0.0,303753128441.25806,5938474387.358,3838130674.079,500000.0
Nitric Acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46312236223.91,744776090.799,0.0,0.0,21696.09,480540415359.9984,117093094.325,1756396414.876,23434513280.000004
Nitro benzene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10525600.786,0.0,0.0,0.0,0.0,20738772.409,1110892.078,0.0,0.0,200789362.41943392,89406685.161,1563268463.146,2428245472.0
Para aminophenol,51179.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13662055.998700283,4031.165,322493.169,2390720.0
Propene,0.0,0.0,0.0,0.0,3038534706.215,50441567891.044,29218038989.967,3461520706.799,0.0,349267347.493,0.0,120910000.898,812105380.691,41838.9,1319981344.207,0.0,11518569572229.5,88700150635.695,659734152608.591,637295027544.0
Sulphuric acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756561705.524,0.0,0.0,0.0,0.0,1490666551.267,469621.082,0.0,0.0,53111835453.581,378829873.219,13469506603.327,64601569296.00001
ROE,23070059.487,3283978612.545,3220997284.803,470830168.915,16884707920.0,0.0,399314744424.0,17093302728.578,964950563616.0,73055103337.891,314810385344.0,504729955260.411,835728000.0,13399512.0,12973297489740.363,133809417407.91,0.0,1331237811.403,6005472345.693,0.0
IMPORTS,4194679.058411583,556501234.4450631,203538619.84567907,27721624.610961538,1026686.7131892118,28390416.057678435,16445013.86448606,206673799.73663455,0.0,196564.89126664784,0.0,188069888.8033319,409215891.6174337,233834.46870028385,402165.663624259,0.0,0.0,3286929936.7896085,8559459643.433931,
SLACK,,,,,,,,,,,,,,,,,2557398013781.9976,,,
