Industry,Domestic Extraction (kg/yr),Imports (kg/yr),DMI = DE + Imports (kg/yr),MID = Imports/DMI (%)
Acetaminophen,16728000.0,19303894.13,36031894.129999995,53.57446394672786
Acetic Acid,0.0,11402830.43,11402830.43,100.0
Acetic Anhydride,0.0,21999811.4,21999811.4,100.0
Acetone,7364650.0,67996308.0,75360958.0,90.22749949648995
Ammonia,43289900000.0,704954843.0,43994854843.0,1.602357470017122
Benzene,0.0,1201526723.0,1201526723.0,100.0
Hydrogen SMR,145638000000.0,11455029.2,145649455029.2,0.007864793725251824
Iso propanol,472004000.0,73732061.54,545736061.54,13.51057163639456
Methane,10414400000.0,30253363170.0,40667763170.0,74.39151015888046
Methanol,0.0,1165477738.0,1165477738.0,100.0
Naphtha,26767700000000.0,2470808927.0,26770170808927.0,0.009229709233592428
Nitric Acid,0.0,25124894.29,25124894.29,100.0
Nitro benzene,851720000.0,13462.30769,851733462.30769,0.00158057752639249
Para aminophenol,0.0,100414.7,100414.7,100.0
Propene,11800000000000.0,198589788.0,11800198589788.0,0.0016829359818728935
Sulphuric acid,16353200000.0,1866544375.0,18219744375.0,10.244624384308905
