Commodity,IMPORTS
Acetic Acid,11402830.43
Acetic Acid Byproduct 1,0
Carbon Monoxide,0
Methanol,1165477738
Acetic Acid Byproduct 2,0
Acetic Acid Waste,0
Acetic Acid Byproduct 3,0
Water,0
Acetic Anhydride,21999811.4
Acetone,67996308
Methane,30253363170
Acetic Anhydride Byproduct,0
Acetic Anhydride Waste,0
Acetone Byproduct 1,0
Iso propanol,73732061.54
Acetone Byproduct 2,0
Acetone Waste,0
Ammonia,704954843
Argon,41614226.9
Ammonia Byproduct 1,0
Ammonia Equilibrium Reactor Feed,0
Ammonia Equilibrium Reactor Product,0
Hydrogen SMR,11455029.2
Liquid Impure Ammonia,0
Nitrogen,778632
Alkane Gas Mixture,0
Ammonia Gas Mixture,0
Air Mixture,0
Ammonia Output Gas Mixture,0
Ammonia Byproduct 2,0
Ammonia Byproduct 3,0
Ammonia Waste,0
Acetaminophen,19303894.13
Para aminophenol,100414.7
APAP Waste 1,0
APAP Waste 2,0
Benzene,1201526723
Coke,147433317
Benzene Naphtha,2470808927
Naphthalene,0
Benzene Byproduct,0
Benzene Waste,0
Air,0
Carbon Dioxide,45751965.15
Hydrogen Byproduct,0
Hydrogen Waste,0
IPA Gas Mixture,0
Sulphuric acid,1866544375
Propane,113679211
Propene,198589788
IPA Byproduct,0
IPA Waste,0
Ethane,504002767.5
Methane Feedgas,60506726340
Methane Gas Mixture,0
Methane Lean Gas,0
Methane Lean TEG,0
Methane Rich TEG,0
Methane Byproduct 1,0
Methane Byproduct 2,0
Methane Waste,0
Methanol Byproduct 1,0
Methanol Nitrogen_Water ,0
Methanol Byproduct 2,0
Methanol Waste,0
Methanol MeOH_EtOH_Water,0
Methanol Gas Mixture,0
Nitric Acid,25124894.29
Nitro benzene,13462.30769
Nitrobenzene Waste,0
Nitric Acid Gas Mixture 1,0
Nitric Acid Water Mixture,0
Nitric Acid Gas Mixture 2,0
Nitric Acid Gas Mixture 3,0
Nitric Acid Byproduct,0
Nitric Acid Waste,0
Aniline,37342934.67
PAP Waste 1,0
PAP Waste 2,0
PAP Waste 3,0
PAP Waste 4,0
Crude AGO,0
Butane,1098416705
Diesel,17307748.1
Crude Gas Mixture,0
Crude HNaphtha,0
Kerosene,0
Mixcrude,52468992782
Naphtha,2470808927
Crude Byproduct,0
Pentane,2441570.547
Crude Waste,0
Propene C2H6_H2,0
Propene CH4_H2,0
Propene Byproduct,0
Propene Waste,0
Sulfuric Acid Byproduct,0
Sulfur,1006000215
Sulfuric Acid Waste,0
